"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-06","74","Master Contract","6504-17-001","6504-17-001","No (Single CSJ)","1",,"Hood",,,,"95815"
"2026-06","75","Master Contract","6502-39-001","6502-39-001","No (Single CSJ)","1",,"Freestone",,,,"330000"
"2026-06","76","Master Contract","0912-72-846","0912-72-846","No (Single CSJ)","1",,"Harris",,,,"6616380.25"
"2026-06","77","Master Contract","0006-06-109","0006-06-109","No (Single CSJ)","1",,"Taylor",,,,"126337928.7"
"2026-06","78","Master Contract","0216-03-034","0216-03-034","No (Single CSJ)","1",,"Guadalupe",,,,"2981999.7"
"2026-06","79","Master Contract","6500-29-001","6500-29-001","No (Single CSJ)","1",,"Caldwell",,,,"245598"
"2026-06","80","Master Contract","6500-40-001","6500-40-001","No (Single CSJ)","1",,"Smith",,,,"5179659.25"
"2026-06","81","Master Contract","6499-57-001","6499-57-001","No (Single CSJ)","1",,"Bowie",,,,"1994770"
"2026-06","82","Master Contract","6487-34-001","6487-34-001","No (Single CSJ)","1",,"Burnet",,,,"178222.72"
"2026-06","83","Master Contract","6502-33-001","6502-33-001","No (Single CSJ)","1",,"Freestone",,,,"245888"
"2026-06","84","Master Contract","6501-15-001","6501-15-001","No (Single CSJ)","1",,"Wharton",,,,"694300"
"2026-06","85","Master Contract","6500-04-001","6500-04-001","No (Single CSJ)","1",,"Ellis",,,,"805000"
"2026-06","86","Master Contract","1683-01-040","1683-01-040","Yes (2 Sub-CSJs)","2",,"Fort Bend",,,,"2859278.6"
"2026-06","87","Master Contract","0907-00-236","0907-00-236","No (Single CSJ)","1",,"Tom Green",,,,"2079597.3"
"2026-06","88","Master Contract","6498-42-001","6498-42-001","No (Single CSJ)","1",,"Cherokee",,,,"157228"
"2026-06","89","Master Contract","6501-74-001","6501-74-001","No (Single CSJ)","1",,"Childress",,,,"325000"
"2026-06","90","Master Contract","0914-04-356","0914-04-356","No (Single CSJ)","1",,"Travis",,,,"406871"
"2026-06","91","Master Contract","6500-28-001","6500-28-001","No (Single CSJ)","1",,"Bexar",,,,"177624.75"
"2026-06","92","Master Contract","0018-06-185","0018-06-185","No (Single CSJ)","1",,"Webb",,,,"66832713.24"
"2026-06","93","Master Contract","0688-03-031","0688-03-031","No (Single CSJ)","1",,"Lamar",,,,"806243"
"2026-06","94","Master Contract","0921-02-534","0921-02-534","No (Single CSJ)","1",,"Hidalgo",,,,"447695.2"
"2026-06","95","Master Contract","6503-68-001","6503-68-001","No (Single CSJ)","1",,"Midland",,,,"238320"
"2026-06","96","Master Contract","6500-55-001","6500-55-001","No (Single CSJ)","1",,"Johnson",,,,"458946.24"
"2026-06","97","Master Contract","6494-13-001","6494-13-001","No (Single CSJ)","1",,"Van Zandt",,,,"255500"
"2026-06","98","Master Contract","0916-00-263","0916-00-263","No (Single CSJ)","1",,"Nueces",,,,"221133.94"
"2026-06","99","Master Contract","6497-46-001","6497-46-001","No (Single CSJ)","1",,"Tarrant",,,,"1561630"
"2026-06","100","Master Contract","0274-02-032","0274-02-032","No (Single CSJ)","1",,"Lampasas",,,,"5557276.85"
"2026-06","101","Master Contract","0581-02-162","0581-02-162","No (Single CSJ)","1",,"Dallas",,,,"17965404.75"
"2026-06","102","Master Contract","0067-18-010","0067-18-010","Yes (4 Sub-CSJs)","4",,"Swisher",,,,"3132948.02"
"2026-06","103","Master Contract","0337-01-053","0337-01-053","No (Single CSJ)","1",,"Williamson",,,,"7329605.75"
