"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-09",,"Sub-CSJ Project","0901-19-198","0901-32-108","Sub-CSJ of 0901-19-198","Sub-CSJ #3",,"Grayson",,,,".00"
"2026-09",,"Sub-CSJ Project","0901-19-198","0901-19-217","Sub-CSJ of 0901-19-198","Sub-CSJ #4",,"Grayson",,,,".00"
"2026-09","81","Master Contract","6508-22-001","6508-22-001","No (Single CSJ)","1",,"Tom Green",,,,"372480"
"2026-09","82","Master Contract","0043-17-036","0043-17-036","No (Single CSJ)","1",,"Wichita",,,,"1188329"
"2026-09","83","Master Contract","6504-27-001","6504-27-001","No (Single CSJ)","1",,"Lamb",,,,"800860.2"
"2026-09","84","Master Contract","6507-28-001","6507-28-001","No (Single CSJ)","1",,"Shelby",,,,"233650"
"2026-09","85","Master Contract","6496-53-001","6496-53-001","No (Single CSJ)","1",,"Hays",,,,"2112600"
"2026-09","86","Master Contract","6506-60-001","6506-60-001","No (Single CSJ)","1",,"Taylor",,,,"277174.5"
"2026-09","87","Master Contract","6508-89-001","6508-89-001","No (Single CSJ)","1",,"San Patricio",,,,"287100"
"2026-09","88","Master Contract","6506-45-001","6506-45-001","No (Single CSJ)","1",,"Cameron",,,,"614804"
"2026-09","89","Master Contract","6507-48-001","6507-48-001","No (Single CSJ)","1",,"Bowie",,,,"690850"
"2026-09","90","Master Contract","6507-70-001","6507-70-001","No (Single CSJ)","1",,"Deaf Smith",,,,"648338.5"
"2026-09","91","Master Contract","0028-05-057","0028-05-057","Yes (27 Sub-CSJs)","27",,"Liberty",,,,"12430020.6"
"2026-09",,"Sub-CSJ Project","0028-05-057","3271-01-019","Sub-CSJ of 0028-05-057","Sub-CSJ #2",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","1947-02-017","Sub-CSJ of 0028-05-057","Sub-CSJ #3",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","1947-01-021","Sub-CSJ of 0028-05-057","Sub-CSJ #4",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0601-01-066","Sub-CSJ of 0028-05-057","Sub-CSJ #5",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0710-01-051","Sub-CSJ of 0028-05-057","Sub-CSJ #6",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0932-01-122","Sub-CSJ of 0028-05-057","Sub-CSJ #7",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0307-01-161","Sub-CSJ of 0028-05-057","Sub-CSJ #8",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0028-06-098","Sub-CSJ of 0028-05-057","Sub-CSJ #9",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0307-01-157","Sub-CSJ of 0028-05-057","Sub-CSJ #10",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0667-01-130","Sub-CSJ of 0028-05-057","Sub-CSJ #11",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0307-02-052","Sub-CSJ of 0028-05-057","Sub-CSJ #12",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0593-01-142","Sub-CSJ of 0028-05-057","Sub-CSJ #13",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0593-01-141","Sub-CSJ of 0028-05-057","Sub-CSJ #14",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","1061-01-040","Sub-CSJ of 0028-05-057","Sub-CSJ #15",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0388-03-090","Sub-CSJ of 0028-05-057","Sub-CSJ #16",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0388-05-011","Sub-CSJ of 0028-05-057","Sub-CSJ #17",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","1061-01-039","Sub-CSJ of 0028-05-057","Sub-CSJ #18",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0305-04-039","Sub-CSJ of 0028-05-057","Sub-CSJ #19",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0305-03-046","Sub-CSJ of 0028-05-057","Sub-CSJ #20",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0627-03-029","Sub-CSJ of 0028-05-057","Sub-CSJ #21",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","1583-02-020","Sub-CSJ of 0028-05-057","Sub-CSJ #22",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0028-15-063","Sub-CSJ of 0028-05-057","Sub-CSJ #23",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0243-03-072","Sub-CSJ of 0028-05-057","Sub-CSJ #24",,"Liberty",,,,".00"
